sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
gsep_054,psep_062,,1989-10-29 05:20:00,,,,,,,,,,,,1989-10-29 02:21:00,1989-10-29 04:51:00,150,,,M4.0,,,,,23.47,7.14,3.01,1.38,1740000,587000.0,270000.0,133000.0,24.8,1989-10-29 09:50:00,,,0,P,,,,Flare data from LMSAL; Over the limb event,1989-10-28 17:20:00,1989-10-30 15:10:00
gsep_055,psep_063,,1989-11-01 19:20:00,,,,,,,,,,,,1989-11-01 15:11:00,1989-11-01 15:14:00,3,-51,-17,C8.4,5772,FALSE,,,4.72,,,,1090000,,,,4.98,1989-11-02 23:10:00,,,0,P,Taken by 4,,,AR from LMSAL,1989-11-01 07:20:00,1989-11-03 21:20:00
gsep_056,psep_064,,1989-11-06 18:45:00,,,,,,,,,,,,1989-11-06 13:43:00,1989-11-06 13:45:00,2,-19,20,M9.2,5776,FALSE,,,5.18,,,,577000,,,,5.66,1989-11-07 01:00:00,,,0,P,Taken by 4,,,AR from LMSAL,1989-11-06 06:45:00,1989-11-07 19:45:00
gsep_057,psep_065,,1989-11-08 19:50:00,,,,,,,,,,,,1989-11-08 18:56:00,1989-11-08 19:02:00,6,57,20,M9.8,5769,FALSE,,43,14.24,,,,480000,,,,15.5,1989-11-09 04:45:00,,,1,P,,,,AR from LMSAL,1989-11-08 07:50:00,1989-11-09 16:50:00
gsep_058,psep_066,,1989-11-15 07:05:00,,,,,,,,,,,,1989-11-15 06:38:00,1989-11-15 06:56:00,18,28,11,X3.2,5786,FALSE,,71,4.85,1.59,0.7,0.32,372000,111000.0,55700.0,30800.0,38.3,1989-11-15 09:05:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1989-11-14 19:05:00,1989-11-15 23:50:00
gsep_059,psep_067,,1989-11-26 11:00:00,,,,,,,,,,,,1989-11-25 22:55:00,1989-11-25 23:24:00,29,-5,30,X1.0,5800,FALSE,,380,140.78,3.64,0.44,,4610000,205000.0,78100.0,,165.0,1989-11-28 11:05:00,,,1,P,"Taken by 4,5",,,AR from LMSAL,1989-11-25 23:00:00,1989-11-29 06:00:00
gsep_060,psep_068,,1989-11-30 13:15:00,,,,,,,,,,,,1989-11-30 11:45:00,1989-11-30 12:25:00,40,52,24,X2.6,5800,FALSE,,7300,2857.19,111.23,5.66,0.88,137000000,6020000.0,418000.0,79100.0,3590.0,1989-12-01 13:30:00,,,1,P,,,,AR from LMSAL,1989-11-30 01:15:00,1989-12-02 07:15:00
gsep_061,psep_069,,1990-03-19 05:55:00,,,,,,,,,,,,1990-03-19 04:39:00,1990-03-19 05:08:00,29,43,31,X1.5,5969,FALSE,,950,697.29,20.51,1.05,,31400000,605000.0,89200.0,,946.0,1990-03-19 23:15:00,,,1,P,,Brief data gap,,AR from LMSAL,1990-03-18 17:55:00,1990-03-20 20:55:00
gsep_062,psep_070,,1990-03-28 13:50:00,,,,,,,,,,,,1990-03-28 07:31:00,1990-03-28 07:45:00,14,37,-4,M4.2,5988,FALSE,,16,2.14,,,,103000,,,,15.9,1990-03-29 10:05:00,,,1,P,,Brief data gap,,AR from LMSAL,1990-03-28 01:50:00,1990-03-29 14:50:00
gsep_063,psep_071,,1990-04-07 00:45:00,,,,,,,,,,,,1990-04-07 15:11:00,1990-04-07 15:32:00,21,-62,32,C9.5,6012,FALSE,,18,15.31,,,,1640000,,,,19.2,1990-04-08 13:55:00,,,1,P,Taken by 4,Brief data gap,,AR from LMSAL,1990-04-06 12:45:00,1990-04-09 02:45:00
